Etymon pt-PT	hiTenTen21 Relative (1)	Headword	Variant	Etymology Full (Work here)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1	
fita		फ़ीता	फीता	pt fita (Source: Dalgado, Dasa) .	fītā	 ⁧فیتہ⁩	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace & tape; tape measure & ribbon	0	फ़ीता		fita	fita (Source: Dalgado)	fita (Source: Dalgado)					masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो	estirar	
forma		फ़र्मा		pt forma (Source: Dalgado) .	formā		noun			in the sense of ‘mould, appearance’		फ़र्मा		forma	forma (Source: Dalgado)	forma (Source: Dalgado)												falto	
gentio	<0.01	जेंटू		pt 	jẽṭū	⁧جینٹو⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo	2	जेंटू		NA				religion	religion	practices, beliefs and rituals	masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ	fita	
gudão		गोदाम		pt gudão (Source: Dalgado) | pt gudão ‘godown' (Source: Wiktionary) >  bn গুদাম ‘godown, warehouse' (Source McGregor) | en godown (Source: Dasa).	godām	گودام	noun		m.	storage, godown	11830	गोदाम		gudão	gudão (Source: Dalgado); Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)											forma	
holandês	<0.01	ओलंदेज़		pt holandês (Source: Wiktionary) .	olandez	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m. or f.	(dated) Dutchman; citizen of Holland 	1	ओलंदेज़		NA				geography	geography	nationalities and ethnic groups								gentio	
igreja	0.68	गिरजा		pt igreja (Source: Dalgado, Dasa) .	girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	609	गिरजा		igreja	igreja (Source: Dalgado)	igreja (Source: Dalgado)		religion	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो	holandês	
inglês	2.58	अँग्रेज़	अँगरेज	pt inglês (Source: Dalgado, Dasa, McGregor) .	am̐grēz	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	2,327	अँग्रेज़		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		geography	geography	nationalities and ethnic groups								hospital	
inglês		अंग्रेज़		pt inglês (Source: Dalgado, McGregor) .	aṅgrez	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	7315	अंग्रेज़		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		geography	geography	nationalities and ethnic groups								igreja	
janela		जंगला		pt janela (Source: Dalgado, Dasa) .	jaṅglā	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window	N	जंगला		janela	janela (Source: Dalgado)	janela (Source: Dalgado)		architecture	architecture	medical institutions	masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो	inglês	
jogar		जुआ		pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) .	juā	جوا	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː/, [d͡ʒʊ.äː]	m.	gambling		जुआ		jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	architecture	architecture	building components								jalapa	
jogar		जुआरी		pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) .	juārī	جواری	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː.ɾiː/, [d͡ʒʊ.äː.ɾiː]	m.	gambler		जुआरी		jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	architecture	architecture	building components								janela	
lampada		लैंप		pt lampada (Source: Dalgado) | en lamp (Source: Dalgado, Dasa) .	laimp	لیمپ	noun		m.	lamp	3339	लैंप		lampada	lampada (Source: Dalgado); English lamp (Source: Dalgado)	lampada (Source: Dalgado); English lamp (Source: Dalgado)	English lamp (Source: Dalgado)											jogar	
leilão	3.34	नीलाम		pt leilão (Source: Dalgado, Dasa) .	nīlām	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m 	auction (a public event where goods are sold through bidding)	3,011	नीलाम		leilão	leilão (Source: Dalgado)	leilão (Source: Dalgado)		commerce_and_business	commerce_and_business	financial transactions	masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो	jogar	
linguiça		लंगूचा		pt linguiça (Source: Dalgado) | sa लिङ्ग+उच्चयः (Source: Platts) .	languchā		noun		m.	a sausage	2	लंगूचा		linguiça	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	Sanskrit लिङ्ग+उच्चयः (Source: Platts)											lampada	
mármore		मरमर		pt mármore (Source: Dalgado) | grc > fa مرمر (Source: McGregor) | ur (Source: Dasa).	marmar	مرمر	noun	(Delhi) IPA(key): /məɾ.məɾ/, [mɐɾ.mɐɾ]	m.	marble	53	मरमर		mármore	mármore (Source: Dalgado); Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	mármore (Source: Dalgado); Persian مرمر  (Source: Wiktionary, McGregor)	Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	materials	materials	stone types								leilão	
martelo	<0.01	मारतौल		pt martelo (Source: Dalgado, Dasa, McGregor) .	mārataula	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]		a heavy hammer, hammer 	2	मारतौल		martelo	martelo (Source: Dalgado)	martelo (Source: Dalgado)		objects	objects	tools	masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो	linguiça	
mastro	0.24	मस्तूल		pt mastro (Source: Dalgado, Dasa) .	mastūla	مستول	noun	(Delhi) IPA(key): /məs.t̪uːl/, [mɐs.t̪uːl]	m.	mast	219	मस्तूल		mastro	mastro (Source: Dalgado)	mastro (Source: Dalgado)		nautics	nautics	nautical tools, components and materials								mármore	
mês		मास-कबार		pt mês (Source: Dalgado) .	mās-kabār	ماس کَبار	noun		m.	last day of a month, monthly statement	0	मार्तोल		mês	mês (Source: Dalgado)	mês (Source: Dalgado)												martelo	
mesa		मेज़		pt mesa (Source: Dalgado, Dasa) | fa میز (Source: Dasa, McGregor) .	mez	میز	noun	(Delhi) IPA(key): /meːz/, /meːd͡ʒ/	f.	table	2319	मेज़		mesa	mesa (Source: Dalgado); Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	mesa (Source: Dalgado); Persian میز  (Source: Wiktionary, McGregor)	Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	furniture	furniture	pieces of furniture								mastro	
mestiço		मस्तीसा		pt mestiço (Source: Dalgado) .	mastīsā	مَستِیسا	noun		m. or f.	half-caste	0	मस्तीसा		mestiço	mestiço (Source: Dalgado)	mestiço (Source: Dalgado)												mês	
mestre		मिस्तरी		pt mestre (Source: Dalgado, McGregor) .	mistarī	مستری	noun			skilled tradesman	0	मास-कबार		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		education	education	leadership and authority								mesa	
mestre		मिस्त्री		pt mestre (Source: Dalgado, McGregor) .	mistrī	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	N	मिस्त्री		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		education	education	leadership and authority	masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो	mestre	
mestre		मिस्त्री		pt mestre (Source: Dalgado, McGregor) .	mistarī	مستری	noun	(Delhi) IPA(key): /mɪs.t̪ɾiː/	m.	skilled tradesman	54	मिस्तरी		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		education	education	leadership and authority								mestiço	
Moçambique		मुसंबी		pt Moçambique (Source: Dasa)	musambī	 	noun		f.	mousambi				NA															
outubro	20.58	अक्तूबर		ine-pro *h₃(e)ḱtéh₃ ‘eight’, *h₃ḱt(e)h₃-uó- ‘eighth’ > itc-pro *oktō ‘eight’, *oktāwo- ‘eighth’ (Source: de Vaan) > la octō + -ber ‘pertaining the eigth (month)’ [analogy with la september ‘september’] (Source: Ernout-Meillet) > pt outubro (Source: Wiktionary) | en October (Source: McGregor) .	aktūbara	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	18,552	अक्तूबर		NA	outubro (Source: Wiktionary);  English October (Source: McGregor)	outubro (Source: Wiktionary);  English October (Source: McGregor)	 English October (Source: McGregor)	calendar	calendar	month								mestre	
padre	5.53	पादरी		pt padre (Source: Dalgado, Dasa) .	pādarī	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	4980	पादरी		padre	padre (Source: Dalgado)	padre (Source: Dalgado)		religion	religion	practices, beliefs and rituals	masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो	mestre	
pão		पाव-रोटी		pt pão + hi रोटी  (Source: Dalgado, Dasa) | sa पद् (Source:McGregor) .	pāv-rotī		noun		f.	loaf of bread	94	पाव-रोटी		pão	pão (Source: Dalgado); Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	pão (Source: Dalgado); Sanskrit पद्  (Source:McGregor)	Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	culinary	culinary	food / baked goods								outubro	
papaia		पपीता		pt papaia (Source: Dalgado)  .	papītā	پپیتا	noun		m.	papaya	8222	पपीता		papaia	papaia (Source: Dalgado); 	papaia (Source: Dalgado); 		botany	botany	fruits								padre	
peru		पीरू		pt peru (Source: Dalgado) | fa  پِیل مُرْغ (Source:Dasa) .	pīrū	پیرو	noun	(Delhi) IPA(key): /piː.ɾuː/	m.	turkey	N	पीरू		peru	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	Persian  پِیل مُرْغ (Source:Dasa)											pão	
pipa	?0.93	पीपा		pt pipa (Source: Dalgado, McGregor) | ? (Source: Dasa) .	pīpā	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask	?834	पीपा		pipa	pipa (Source: Dalgado)	pipa (Source: Dalgado)				containers	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो	papaia	
pires		पिरिच		pt pires (Source: Dalgado) | en press (Source: McGregor) .	piric	پرچ	noun	(Delhi) IPA(key): /pɪ.ɾɪt͡ʃ/	m.	saucer  & a flat surface (as used in pressing out indigo)	0	पिरिच		pires	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	English press (Source: Wiktionary, McGregor)	household	household	tableware								peru	
pistola	6.07	पिस्तौल		pt pistola (Source: Dalgado, McGregor) | en pistol (Source: Dalgado, Dasa) .	pistaula	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	5,470	पिस्तौल		pistola	pistola (Source: Dalgado); English pistol (Source: Dalgado)	pistola (Source: Dalgado); English pistol (Source: Dalgado)	English pistol (Source: Dalgado)	military	military	weapons, explosives, devices	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो	pipa	
polícia		पुलिस		pt ? polícia (Source: Dalgado) | en police (Source: Dalgado, Dasa, McGregor) .	pulis	پولس	noun	(Delhi) IPA(key): /pʊ.lɪs/	f.	the police		पुलिस		? polícia	? polícia (Source: Dalgado); English police (Source: D, McGregor)	? polícia (Source: Dalgado); English police (Source: D, McGregor)	English police (Source: D, McGregor)											pires	
pompa	0.34	बंबा		pt pompa .	bambā	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	304	बंबा		NA							masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो	pistola	
prato		परात		pt prato (Source: Dalgado) | sa पात्र (Source: Dasa) .	parāt	پرات	noun	(Delhi) IPA(key): /pə.ɾɑːt̪/, [pɐ.ɾäːt̪]	f.	receipt	400	परात		prato	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) 	Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)		tableware									polícia	
querubim		करूबीम		pt querubim (Source: Dalgado) .		کَرُوبِیم	noun			cherubim	0	करूबीम		querubim	querubim (Source: Dalgado)	querubim (Source: Dalgado)												prato	
recibo		रसीद		pt recibo (Source: Dalgado) | fa رسید (Source: Dasa, McGregor) | en receipt (Dasa) .	rasīd	رسید	noun	(Delhi) IPA(key): /ɾə.siːd̪/, [ɾɐ.siːd̪]	f.	receipt	5471	रसीद		recibo	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	Persian رسید (Source: McGregor)		commerce_and_business	financial transactions								prego	
sabão		साबुन		pt sabão (Source: Dalgado) | ine-pro *seyb- > gem-pro *saipǭ [borrowing] > la sāpō [borrowing] > grc σάπων [borrowing] > syc ܨܲܦ݁ܘܿܢܵܐ (Source:Wiktionary)  [borrowing] > ar صَابُون (Source: Dasa, McGregor) |  ar صَابُون > fa صابون (Source: Wiktionary) .	sābun	صابن	noun	(Delhi) IPA(key): /sɑː.bʊn/, [säː.bʊ̃n]	m.	soap	11540	साबुन		sabão	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	cleaningAndHygiene	cleaning and hygiene									querubim	
sagu		सागू		pt ? sagu (Source: Dalgado) | id sagu (Source: McGregor) | en sago (Source: Dasa) .	sāgū	ساگو	noun	(Delhi) IPA(key): /sɑː.ɡuː/, [säː.ɡuː]	m.	sago	32	सागू		? sagu	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	Indonesian sagu (Source: McGregor)											recibo	
saia		साया		pt saia (Source: Dalgado, McGregor) | en chemise (Source: Dasa) .	sāyā	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	9045	साया		saia	saia (Source: Dalgado)	saia (Source: Dalgado)		clothing	clothing	clothing items	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो	sabão	
salada		सलाद		pt salada (Source: Dalgado) | fr salade (Source: McGregor) | ar > en salad (Source: Dasa) .	salād		noun		m.	salad	9076	सलाद		salada	salada (Source: Dalgado); French salade (Source: McGregor)	salada (Source: Dalgado); French salade (Source: McGregor)	French salade (Source: McGregor)											sagu	
salsaparrilha	?0.33	सालसा		pt salsaparrilha (Source: McGregor) | en (Source: Dasa)	sālasā		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	 ?297	सालसा		NA				botany	botany	plants								saia	
sapato		चपात		pt sapato (Source: Platts) .	chapat	چپات	noun		f.	 A shoe of the European fashion (having a heel-piece, in contradistinction to the Persian shoe).																			
setembro	142.28	सितंबर		pt setembro (Source: McGregor) | en September (Source: Dasa, McGregor) .	sitambara	ستمبر	noun		m.	September	128,243	सितंबर		NA	setembro (Source: Wiktionary); English September (Source: McGregor)	setembro (Source: Wiktionary); English September (Source: McGregor)	English September (Source: McGregor)	calendar	calendar	month								salada	
sorte		शर्ती		pt sorte (Source: Dalgado) | ar شَرْط (Source: Dasa) .	śart	شرط	noun	(Delhi) IPA(key): /ʃəɾt̪/, [ʃɐɾt̪]	f.	condition, requirement & wager, bet 	11	शर्ती		sorte	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	Arabic شَرْط (Source: Wiktionary)											salsaparrilha	
tabaco		तंबाकू		pt tabaco (Source: Dalgado) | pt tabaco (Source:Wiktionary) > fa تنباکو (Source: McGregor) | en tobacco (Source: Dasa) .	tambākū	تنباکو 	noun	(Delhi) IPA(key): /t̪əm.bɑː.kuː/, [t̪ɐ̃m.bäː.kuː]	m.	tobacco	12641	तंबाकू		tabaco	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	Persian تنباکو (Source: Wiktionary)											setembro	
tambor		तंबूरा		pt tambor (Source: Dalgado) | pal tmbwl, tnbwl (Source: Wiktionary) > fa تنبور ‘tanbur' (Source:  Dasa, McGregor) .	tānpūrā	تنپورا	noun	(Delhi) IPA(key): /t̪ɑːn.puː.ɾɑː/, [t̪ä̃ːn.puː.ɾäː]	m.	tanpura	138	तंबूरा		tambor	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	Persian tambūra (Source: McGregor)											sorte	
toalha	3,33	तौलिया		pt toalha (Source: Dalgado) | en towel (Source: Dasa, McGregor) .	tauliyā	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel	3,006	तौलिया		toalha	toalha (Source: Dalgado); English towel (Source: McGregor)	toalha (Source: Dalgado); English towel (Source: McGregor)	English towel (Source: McGregor)	household	household	textiles	masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो	tabaco	
toronja		तुरंज		pt toronja (Source: Dalgado) | fa turanj (Source: Dasa, McGregor) .	turanj	ترنج	noun		m.	a kind of citron	7	तुरंज		toronja	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	Persian turanj (Source: McGregor)											tambor	
tufão		तूफ़ान		pt ? tufão (Source: Dalgado) | ar طوفان (Source: Platts) .	tūfān	طوفان	noun	(Delhi) IPA(key): /t̪uː.fɑːn/, [t̪uː.fä̃ːn], /t̪uː.pʰɑːn/, [t̪uː.pʰä̃ːn]	m.	storm, tempest & hurricane	3572	तूफ़ान		? tufão	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	Persian طوفان (Source: Wiktionary, McGregor)											toalha	
varanda	5.03	बरामदा		pt varanda (Source: Dalgado, McGregor) | fa bar āmada ‘come forth' (Source: Dasa, McGregor) .	barāmadā	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	4,533	बरामदा		varanda	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	Persian bar āmada 'come forth' (Source: McGregor)	architecture	architecture		masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो	toronja	
vermelho		वरमेल्हो		pt vermelho (Source: Dasa) .	varmelho		noun		m.	Malay red sandalwood				NA															
verruma		बरमा		pt verruma (Source: Dalgado) .	barmā	برما	noun	(Delhi) IPA(key): /bəɾ.mɑː/, [bɐɾ.mäː]	m.	(tool) drill, borer	131	बरमा		verruma	verruma (Source: Dalgado)	verruma (Source: Dalgado)												tufão	
